Name,Series,Form,Type,Capacity,Cache,Price/GB
Western Digital WD40PURZ,Purple,3.5",5400RPM,4TB,64MB,£0.026
Western Digital WD15EARX,Caviar Green,3.5",5400RPM,1.5TB,64MB,
Seagate ST2000NX0303,,2.5",7200RPM,2TB,128MB,£0.145
Seagate ST32000445SS,Constellation ES,3.5",7200RPM,2TB,16MB,
Seagate ST6000NM0014,,3.5",7200RPM,6TB,128MB,£0.049
Western Digital WD6001FFWX,Red Pro,3.5",7200RPM,6TB,128MB,£0.048
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,250GB,8MB,
Seagate ST2000LM003,Momentus SpinPoint,2.5",5400RPM,2TB,32MB,£0.056
Hitachi HDS721050DLE630,Deskstar 7K1000.D,3.5",7200RPM,500GB,32MB,£0.120
Western Digital WD5000AZRX,Caviar Green,3.5",5400RPM,500GB,64MB,
Western Digital WD2003FYYS-02W0B1,RE4,3.5",7200RPM,2TB,64MB,
Seagate ST9600005SS,Savvio 10K.5,2.5",10000RPM,600GB,64MB,
Seagate ST31000526SV,SV35 Series,3.5",7200RPM,1TB,32MB,
Toshiba HDD3B04,,3.5",7200RPM,1TB,64MB,
Samsung ST1000DM005/HD103SJ,Spinpoint F3,3.5",7200RPM,1TB,32MB,
Toshiba HDWJ105XZSTA,,2.5",5400RPM,500GB,8MB,
Seagate ST6000DM001,BarraCuda Pro,3.5",7200RPM,6TB,128MB,£0.030
Seagate ST4000VN008,IronWolf,3.5",5900RPM,4TB,64MB,£0.024
Seagate ST5000LM000,BarraCuda,2.5",5400RPM,5TB,128MB,£0.035
Seagate ST6000VX0023,SkyHawk,3.5",5900RPM,6TB,256MB,£0.026
Western Digital WD60EZRZ,Blue,3.5",5400RPM,6TB,64MB,£0.025
Western Digital WD2005FBYZ,Gold,3.5",7200RPM,2TB,128MB,£0.050
Western Digital WDBH2D0010HNC-NRSN,Mainstream,3.5",7200RPM,1TB,64MB,
Seagate ST320LT007,Momentus Thin,2.5",7200RPM,320GB,16MB,
Seagate ST500DM002,Barracuda,3.5",7200RPM,500GB,16MB,£0.150
Western Digital WD2500AAJS,Caviar Blue,3.5",7200RPM,250GB,8MB,
Seagate ST6000NE0021,IronWolf Pro,3.5",7200RPM,6TB,256MB,£0.034
Western Digital WD20PURX,WD Purple,3.5",5400RPM,2TB,64MB,£0.032
Toshiba HDWE150EZSTA,X300,3.5",7200RPM,5TB,128MB,£0.025
Western Digital WD1001FALS,Caviar Black,3.5",7200RPM,1TB,32MB,
Seagate ST3500413AS,Barracuda,3.5",7200RPM,500GB,16MB,£0.142
Western Digital WD30PURX,WD Purple,3.5",5400RPM,3TB,64MB,£0.028
Toshiba PH3500U-1I72,,3.5",7200RPM,5TB,128MB,
Western Digital WD3000HLHX,VelociRaptor,3.5",10000RPM,300GB,32MB,£0.417
Hitachi 0J38065,Travelstar Z5K500,2.5",5400RPM,500GB,8MB,£0.080
Hitachi 7K1000,Deskstar,3.5",7200RPM,1TB,32MB,
Seagate ST3000VN000,,3.5",7200RPM,3TB,64MB,
Seagate ST310005N1A1AS-RK,Barracuda,3.5",7200RPM,1TB,64MB,
Western Digital WD6400BPVT,Scorpio Blue,2.5",5400RPM,640GB,8MB,
Western Digital WD1002F9YZ,Se,3.5",7200RPM,1TB,128MB,
Seagate ST5000DM000,,3.5",5900RPM,5TB,128MB,£0.032
Toshiba PH3400U-1I72,,3.5",7200RPM,4TB,128MB,
Hitachi E7K1000,Deskstar,3.5",7200RPM,1TB,32MB,£0.089
Western Digital WD3001FAEX,,3.5",7200RPM,3TB,64MB,
Western Digital WD30EZRX,Caviar Green,3.5",5400RPM,3TB,64MB,
Hitachi 0J30573,Travelstar 7K1000,2.5",7200RPM,1TB,32MB,£0.064
Western Digital WD10EALS,Caviar Blue,3.5",7200RPM,1TB,32MB,£0.091
Western Digital WD60EZRX,Green,3.5",5400RPM,6TB,64MB,
Western Digital WD15EADS,Caviar Green,3.5",5400RPM,1.5TB,32MB,
Samsung HD103SJ,Spinpoint F3,3.5",7200RPM,1TB,32MB,£0.079
Samsung HD502HJ,Spinpoint F3,3.5",7200RPM,500GB,16MB,
Toshiba PH3300U-1I72,,3.5",7200RPM,3TB,64MB,
