Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
AMD,AMD A8-5600K,3.6GHz,4,No,100Watts
AMD,AMD A10-6800K,4.1GHz,4,No,100Watts
Intel,Intel Core i5-2380P,3.1GHz,4,No,95Watts
Intel,Intel Core i3-6300 (OEM/Tray),3.8GHz,2,Yes:Hyper-Threading,51Watts
AMD,AMD FX-4100 (OEM/Tray),3.6GHz,4,No,95Watts
AMD,AMD A10-7860k,3.6GHz,4,No,65Watts
AMD,AMD A8-7600,3.1GHz,4,No,65Watts
Intel,Intel Pentium G4400 (OEM/Tray),3.3GHz,2,No,54Watts
Intel,Intel Xeon E3-1220 V3,3.1GHz,4,No,80Watts
Intel,Intel Core i3-4340,3.6GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core i3-7100 (OEM/Tray),3.9GHz,2,Yes:Hyper-Threading,51Watts
AMD,AMD Opteron 6378,2.4GHz,16,No,115Watts
Intel,Intel Xeon E5-2660,2.2GHz,8,Yes:Hyper-Threading,95Watts
Intel,Intel Xeon E5-2690 V4,2.6GHz,14,Yes:Hyper-Threading,135Watts
AMD,AMD FX-8350 (OEM/Tray),4.0GHz,8,No,125Watts
Intel,Intel Core i7-7800X,3.5GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Xeon E5-2680,2.7GHz,8,Yes:Hyper-Threading,130Watts
Intel,Intel Core i3-3220,3.3GHz,2,Yes:Hyper-Threading,55Watts
Intel,Intel Core i7-6700 (OEM/Tray),3.4GHz,4,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E5-2640 V4,2.4GHz,10,Yes:Hyper-Threading,90Watts
Intel,Intel Core 2 Duo E4400,2.0GHz,2,No,65Watts
Intel,Intel Core i5-4440S,2.8GHz,4,No,65Watts
Intel,Intel Core i5-750,2.66GHz,4,No,95Watts
Intel,Intel Core i5-6600 (OEM/Tray),3.3GHz,4,No,65Watts
Intel,Intel Core i5-4690K (OEM/Tray),3.5GHz,4,No,88Watts
Intel,Intel Xeon E5-2697 V2,2.7GHz,12,Yes:Hyper-Threading,130Watts
Intel,Intel Xeon E5-2660 V2,2.2GHz,10,Yes:Hyper-Threading,95Watts
Intel,Intel Core i7-5820K (OEM/Tray),3.3GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i5-3550,3.3GHz,4,No,77Watts
Intel,Intel Core 2 Extreme QX6850,3.0GHz,4,No,130Watts
Intel,Intel Xeon E5-1680 V3 (OEM/Tray),3.2GHz,8,Yes:Hyper-Threading,140Watts
Intel,Intel Core i7-3970X Extreme Edition,3.5GHz,6,Yes:Hyper-Threading,150Watts
Intel,Intel Core i9-7900X,3.3GHz,10,Yes:Hyper-Threading,140Watts
AMD,AMD Phenom II X4 970 Black,3.5GHz,4,No,125Watts
Intel,Intel Core i5-6400T,2.2GHz,4,No,35Watts
AMD,AMD FX-6350,3.9GHz,6,No,125Watts
Intel,Intel Xeon E5-1620 V4,3.5GHz,4,Yes:Hyper-Threading,140Watts
Intel,Intel Core 2 Duo E6550,2.33GHz,2,No,65Watts
